,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateApprovedOrigin,Grants permission to associate approved origin for an existing Amazon Connect instance,Write,instance*,,
1,AssociateApprovedOrigin,Grants permission to associate approved origin for an existing Amazon Connect instance,Write,,connect:InstanceId,
2,AssociateBot,Grants permission to associate a Lex bot for an existing Amazon Connect instance,Write,instance*,,iam:AttachRolePolicy  iam:CreateServiceLinkedRole  iam:PutRolePolicy  lex:CreateResourcePolicy  lex:DescribeBotAlias  lex:GetBot  lex:UpdateResourcePolicy
3,AssociateBot,Grants permission to associate a Lex bot for an existing Amazon Connect instance,Write,,connect:InstanceId,
4,AssociateCustomerProfilesDomain,Grants permission to associate a Customer Profiles domain for an existing Amazon Connect instance,Write,instance*,,iam:AttachRolePolicy  iam:CreateServiceLinkedRole  iam:PutRolePolicy  profile:GetDomain
5,AssociateDefaultVocabulary,Grants permission to default vocabulary for an existing Amazon Connect instance,Write,instance*,,
6,AssociateDefaultVocabulary,Grants permission to default vocabulary for an existing Amazon Connect instance,Write,,connect:InstanceId,
7,AssociateInstanceStorageConfig,Grants permission to associate instance storage for an existing Amazon Connect instance,Write,instance*,,ds:DescribeDirectories  firehose:DescribeDeliveryStream  iam:AttachRolePolicy  iam:CreateServiceLinkedRole  iam:PutRolePolicy  kinesis:DescribeStream  kms:CreateGrant  kms:DescribeKey  s3:GetBucketAcl  s3:GetBucketLocation
8,AssociateInstanceStorageConfig,Grants permission to associate instance storage for an existing Amazon Connect instance,Write,,connect:StorageResourceType  connect:InstanceId,
9,AssociateLambdaFunction,Grants permission to associate a Lambda function for an existing Amazon Connect instance,Write,instance*,,lambda:AddPermission
10,AssociateLambdaFunction,Grants permission to associate a Lambda function for an existing Amazon Connect instance,Write,,connect:InstanceId,
11,AssociateLexBot,Grants permission to associate a Lex bot for an existing Amazon Connect instance,Write,instance*,,iam:AttachRolePolicy  iam:CreateServiceLinkedRole  iam:PutRolePolicy  lex:GetBot
12,AssociateLexBot,Grants permission to associate a Lex bot for an existing Amazon Connect instance,Write,,connect:InstanceId,
13,AssociatePhoneNumberContactFlow,Grants permission to associate contact flow resources to phone number resources in an Amazon Connect instance,Write,contact-flow*,,
14,AssociatePhoneNumberContactFlow,Grants permission to associate contact flow resources to phone number resources in an Amazon Connect instance,Write,phone-number*,,
15,AssociatePhoneNumberContactFlow,Grants permission to associate contact flow resources to phone number resources in an Amazon Connect instance,Write,,aws:ResourceTag/${TagKey}  connect:InstanceId,
16,AssociateQueueQuickConnects,Grants permission to associate quick connects with a queue in an Amazon Connect instance,Write,queue*,,
17,AssociateQueueQuickConnects,Grants permission to associate quick connects with a queue in an Amazon Connect instance,Write,quick-connect*,,
18,AssociateQueueQuickConnects,Grants permission to associate quick connects with a queue in an Amazon Connect instance,Write,,aws:ResourceTag/${TagKey}  connect:InstanceId,
19,AssociateRoutingProfileQueues,Grants permission to associate queues with a routing profile in an Amazon Connect instance,Write,queue*,,
20,AssociateRoutingProfileQueues,Grants permission to associate queues with a routing profile in an Amazon Connect instance,Write,routing-profile*,,
21,AssociateRoutingProfileQueues,Grants permission to associate queues with a routing profile in an Amazon Connect instance,Write,,aws:ResourceTag/${TagKey}  connect:InstanceId,
22,AssociateSecurityKey,Grants permission to associate a security key for an existing Amazon Connect instance,Write,instance*,,
23,AssociateSecurityKey,Grants permission to associate a security key for an existing Amazon Connect instance,Write,,connect:InstanceId,
24,BatchAssociateAnalyticsDataSet [permission only],Grants permission to grant access and to associate the datasets with the specified AWS account,Write,instance*,,
25,BatchAssociateAnalyticsDataSet [permission only],Grants permission to grant access and to associate the datasets with the specified AWS account,Write,,connect:InstanceId,
26,BatchDisassociateAnalyticsDataSet [permission only],Grants permission to revoke access and to disassociate the datasets with the specified AWS account,Write,instance*,,
27,BatchDisassociateAnalyticsDataSet [permission only],Grants permission to revoke access and to disassociate the datasets with the specified AWS account,Write,,connect:InstanceId,
28,ClaimPhoneNumber,Grants permission to claim phone number resources in an Amazon Connect instance or traffic distribution group,Write,instance*,,
29,ClaimPhoneNumber,Grants permission to claim phone number resources in an Amazon Connect instance or traffic distribution group,Write,traffic-distribution-group*,,
30,ClaimPhoneNumber,Grants permission to claim phone number resources in an Amazon Connect instance or traffic distribution group,Write,wildcard-phone-number*,,
31,ClaimPhoneNumber,Grants permission to claim phone number resources in an Amazon Connect instance or traffic distribution group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
32,CreateAgentStatus,Grants permission to create agent status in an Amazon Connect instance,Write,agent-status*,,
33,CreateAgentStatus,Grants permission to create agent status in an Amazon Connect instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  connect:InstanceId,
34,CreateContactFlow,Grants permission to create a contact flow in an Amazon Connect instance,Write,contact-flow*,,
35,CreateContactFlow,Grants permission to create a contact flow in an Amazon Connect instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  connect:InstanceId,
36,CreateContactFlowModule,Grants permission to create a contact flow module in an Amazon Connect instance,Write,contact-flow-module*,,
37,CreateContactFlowModule,Grants permission to create a contact flow module in an Amazon Connect instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  connect:InstanceId,
38,CreateHoursOfOperation,Grants permission to create hours of operation in an Amazon Connect instance,Write,hours-of-operation*,,
39,CreateHoursOfOperation,Grants permission to create hours of operation in an Amazon Connect instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  connect:InstanceId,
