,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelJob,Cancel a job that Elastic Transcoder has not begun to process,Write,job*,,
1,CreateJob,Create a job.,Write,pipeline*,,
2,CreateJob,Create a job.,Write,preset*,,
3,CreatePipeline,Create a pipeline,Write,pipeline*,,
4,CreatePreset,Create a preset.,Write,preset*,,
5,DeletePipeline,Delete a pipeline,Write,pipeline*,,
6,DeletePreset,Delete a preset,Write,preset*,,
7,ListJobsByPipeline,Get a list of the jobs that you assigned to a pipeline,List,pipeline*,,
8,ListJobsByStatus,Get information about all of the jobs associated with the current AWS account that have a specified status,List,,,
9,ListPipelines,Get a list of the pipelines associated with the current AWS account,List,,,
10,ListPresets,Get a list of all presets associated with the current AWS account.,List,,,
11,ReadJob,Get detailed information about a job,Read,job*,,
12,ReadPipeline,Get detailed information about a pipeline,Read,pipeline*,,
13,ReadPreset,Get detailed information about a preset.,Read,preset*,,
14,TestRole,Test the settings for a pipeline to ensure that Elastic Transcoder can create and process jobs,Write,,,
15,UpdatePipeline,Update settings for a pipeline,Write,pipeline*,,
16,UpdatePipelineNotifications,Update only Amazon Simple Notification Service (Amazon SNS) notifications for a pipeline,Write,pipeline*,,
17,UpdatePipelineStatus,"Pause or reactivate a pipeline, so the pipeline stops or restarts processing jobs, update the status for the pipeline.",Write,pipeline*,,
