,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApp,Grants permission to create an app,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
1,CreateCampaign,Grants permission to create a campaign for an app,Write,apps*,,
2,CreateCampaign,Grants permission to create a campaign for an app,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
3,CreateEmailTemplate,Grants permission to create an email template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
4,CreateExportJob,Grants permission to create an export job that exports endpoint definitions to Amazon S3,Write,apps*,,
5,CreateImportJob,Grants permission to import endpoint definitions from to create a segment,Write,apps*,,
6,CreateInAppTemplate,Grants permission to create an in-app message template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
7,CreateJourney,Grants permission to create a Journey for an app,Write,apps*,,
8,CreateJourney,Grants permission to create a Journey for an app,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
9,CreatePushTemplate,Grants permission to create a push notification template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
10,CreateRecommenderConfiguration,Grants permission to create an Amazon Pinpoint configuration for a recommender model,Write,,,
11,CreateSegment,"Grants permission to create a segment that is based on endpoint data reported to Pinpoint by your app. To allow a user to create a segment by importing endpoint data from outside of Pinpoint, allow the mobiletargeting:CreateImportJob action",Write,apps*,,
12,CreateSegment,"Grants permission to create a segment that is based on endpoint data reported to Pinpoint by your app. To allow a user to create a segment by importing endpoint data from outside of Pinpoint, allow the mobiletargeting:CreateImportJob action",Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
13,CreateSmsTemplate,Grants permission to create an sms message template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
14,CreateVoiceTemplate,Grants permission to create a voice message template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
15,DeleteAdmChannel,Grants permission to delete the ADM channel for an app,Write,apps*,,
16,DeleteApnsChannel,Grants permission to delete the APNs channel for an app,Write,apps*,,
17,DeleteApnsSandboxChannel,Grants permission to delete the APNs sandbox channel for an app,Write,apps*,,
18,DeleteApnsVoipChannel,Grants permission to delete the APNs VoIP channel for an app,Write,apps*,,
19,DeleteApnsVoipSandboxChannel,Grants permission to delete the APNs VoIP sandbox channel for an app,Write,apps*,,
20,DeleteApp,Grants permission to delete a specific campaign,Write,apps*,,
21,DeleteBaiduChannel,Grants permission to delete the Baidu channel for an app,Write,apps*,,
22,DeleteCampaign,Grants permission to delete a specific campaign,Write,apps*,,
23,DeleteCampaign,Grants permission to delete a specific campaign,Write,campaigns*,,
24,DeleteEmailChannel,Grants permission to delete the email channel for an app,Write,apps*,,
25,DeleteEmailTemplate,Grants permission to delete an email template or an email template version,Write,templates*,,
26,DeleteEndpoint,Grants permission to delete an endpoint,Write,apps*,,
27,DeleteEventStream,Grants permission to delete the event stream for an app,Write,apps*,,
28,DeleteGcmChannel,Grants permission to delete the GCM channel for an app,Write,apps*,,
29,DeleteInAppTemplate,Grants permission to delete an in-app message template or an in-app message template version,Write,templates*,,
30,DeleteJourney,Grants permission to delete a specific journey,Write,apps*,,
31,DeleteJourney,Grants permission to delete a specific journey,Write,journeys*,,
32,DeletePushTemplate,Grants permission to delete a push notification template or a push notification template version,Write,templates*,,
33,DeleteRecommenderConfiguration,Grants permission to delete an Amazon Pinpoint configuration for a recommender model,Write,recommenders*,,
34,DeleteSegment,Grants permission to delete a specific segment,Write,apps*,,
35,DeleteSegment,Grants permission to delete a specific segment,Write,segments*,,
36,DeleteSmsChannel,Grants permission to delete the SMS channel for an app,Write,apps*,,
37,DeleteSmsTemplate,Grants permission to delete an sms message template or an sms message template version,Write,templates*,,
38,DeleteUserEndpoints,Grants permission to delete all of the endpoints that are associated with a user ID,Write,apps*,,
39,DeleteVoiceChannel,Grants permission to delete the Voice channel for an app,Write,apps*,,
40,DeleteVoiceTemplate,Grants permission to delete a voice message template or a voice message template version,Write,templates*,,
41,GetAdmChannel,Grants permission to retrieve information about the Amazon Device Messaging (ADM) channel for an app,Read,apps*,,
42,GetApnsChannel,Grants permission to retrieve information about the APNs channel for an app,Read,apps*,,
43,GetApnsSandboxChannel,Grants permission to retrieve information about the APNs sandbox channel for an app,Read,apps*,,
44,GetApnsVoipChannel,Grants permission to retrieve information about the APNs VoIP channel for an app,Read,apps*,,
45,GetApnsVoipSandboxChannel,Grants permission to retrieve information about the APNs VoIP sandbox channel for an app,Read,apps*,,
46,GetApp,Grants permission to retrieve information about a specific app in your Amazon Pinpoint account,Read,apps*,,
47,GetApplicationDateRangeKpi,Grants permission to retrieve (queries) pre-aggregated data for a standard metric that applies to an application,Read,apps*,,
48,GetApplicationSettings,Grants permission to retrieve the default settings for an app,List,apps*,,
49,GetApps,Grants permission to retrieve a list of apps in your Amazon Pinpoint account,Read,apps*,,
50,GetBaiduChannel,Grants permission to retrieve information about the Baidu channel for an app,Read,apps*,,
51,GetCampaign,Grants permission to retrieve information about a specific campaign,Read,apps*,,
52,GetCampaign,Grants permission to retrieve information about a specific campaign,Read,campaigns*,,
53,GetCampaignActivities,Grants permission to retrieve information about the activities performed by a campaign,List,apps*,,
54,GetCampaignActivities,Grants permission to retrieve information about the activities performed by a campaign,List,campaigns*,,
55,GetCampaignDateRangeKpi,Grants permission to retrieve (queries) pre-aggregated data for a standard metric that applies to a campaign,Read,apps*,,
56,GetCampaignDateRangeKpi,Grants permission to retrieve (queries) pre-aggregated data for a standard metric that applies to a campaign,Read,campaigns*,,
57,GetCampaignVersion,Grants permission to retrieve information about a specific campaign version,Read,apps*,,
58,GetCampaignVersion,Grants permission to retrieve information about a specific campaign version,Read,campaigns*,,
59,GetCampaignVersions,Grants permission to retrieve information about the current and prior versions of a campaign,List,apps*,,
60,GetCampaignVersions,Grants permission to retrieve information about the current and prior versions of a campaign,List,campaigns*,,
61,GetCampaigns,Grants permission to retrieve information about all campaigns for an app,List,apps*,,
62,GetChannels,Grants permission to get all channels information for your app,List,apps*,,
63,GetEmailChannel,Grants permission to obtain information about the email channel in an app,Read,apps*,,
64,GetEmailTemplate,Grants permission to retrieve information about a specific or the active version of an email template,Read,templates*,,
65,GetEndpoint,Grants permission to retrieve information about a specific endpoint,Read,apps*,,
66,GetEventStream,Grants permission to retrieve information about the event stream for an app,Read,apps*,,
67,GetExportJob,Grants permission to obtain information about a specific export job,Read,apps*,,
68,GetExportJobs,Grants permission to retrieve a list of all of the export jobs for an app,List,apps*,,
69,GetGcmChannel,Grants permission to retrieve information about the GCM channel for an app,Read,apps*,,
70,GetImportJob,Grants permission to retrieve information about a specific import job,Read,apps*,,
71,GetImportJobs,Grants permission to retrieve information about all import jobs for an app,List,apps*,,
72,GetInAppMessages,Grants permission to retrive in-app messages for the given endpoint id,Read,apps*,,
73,GetInAppTemplate,Grants permission to retrieve information about a specific or the active version of an in-app message template,Read,templates*,,
74,GetJourney,Grants permission to retrieve information about a specific journey,Read,apps*,,
75,GetJourney,Grants permission to retrieve information about a specific journey,Read,journeys*,,
76,GetJourneyDateRangeKpi,Grants permission to retrieve (queries) pre-aggregated data for a standard engagement metric that applies to a journey,Read,apps*,,
77,GetJourneyDateRangeKpi,Grants permission to retrieve (queries) pre-aggregated data for a standard engagement metric that applies to a journey,Read,journeys*,,
78,GetJourneyExecutionActivityMetrics,Grants permission to retrieve (queries) pre-aggregated data for a standard execution metric that applies to a journey activity,Read,apps*,,
79,GetJourneyExecutionActivityMetrics,Grants permission to retrieve (queries) pre-aggregated data for a standard execution metric that applies to a journey activity,Read,journeys*,,
80,GetJourneyExecutionMetrics,Grants permission to retrieve (queries) pre-aggregated data for a standard execution metric that applies to a journey,Read,apps*,,
81,GetJourneyExecutionMetrics,Grants permission to retrieve (queries) pre-aggregated data for a standard execution metric that applies to a journey,Read,journeys*,,
82,GetPushTemplate,Grants permission to retrieve information about a specific or the active version of an push notification template,Read,templates*,,
83,GetRecommenderConfiguration,Grants permission to retrieve information about an Amazon Pinpoint configuration for a recommender model,Read,recommenders*,,
84,GetRecommenderConfigurations,Grants permission to retrieve information about all the recommender model configurations that are associated with an Amazon Pinpoint account,List,,,
85,GetReports,Grants permission to mobiletargeting:GetReports,Read,,,
86,GetSegment,Grants permission to retrieve information about a specific segment,Read,apps*,,
87,GetSegment,Grants permission to retrieve information about a specific segment,Read,segments*,,
88,GetSegmentExportJobs,Grants permission to retrieve information about jobs that export endpoint definitions from segments to Amazon S3,List,apps*,,
89,GetSegmentExportJobs,Grants permission to retrieve information about jobs that export endpoint definitions from segments to Amazon S3,List,segments*,,
90,GetSegmentImportJobs,Grants permission to retrieve information about jobs that create segments by importing endpoint definitions from,List,apps*,,
91,GetSegmentImportJobs,Grants permission to retrieve information about jobs that create segments by importing endpoint definitions from,List,segments*,,
92,GetSegmentVersion,Grants permission to retrieve information about a specific segment version,Read,apps*,,
93,GetSegmentVersion,Grants permission to retrieve information about a specific segment version,Read,segments*,,
94,GetSegmentVersions,Grants permission to retrieve information about the current and prior versions of a segment,List,apps*,,
95,GetSegmentVersions,Grants permission to retrieve information about the current and prior versions of a segment,List,segments*,,
96,GetSegments,Grants permission to retrieve information about the segments for an app,List,apps*,,
97,GetSmsChannel,Grants permission to obtain information about the SMS channel in an app,Read,apps*,,
98,GetSmsTemplate,Grants permission to retrieve information about a specific or the active version of an sms message template,Read,templates*,,
99,GetUserEndpoints,Grants permission to retrieve information about the endpoints that are associated with a user ID,Read,apps*,,
100,GetVoiceChannel,Grants permission to obtain information about the Voice channel in an app,Read,apps*,,
101,GetVoiceTemplate,Grants permission to retrieve information about a specific or the active version of a voice message template,Read,templates*,,
102,ListJourneys,Grants permission to retrieve information about all journeys for an app,List,apps*,,
103,ListTagsForResource,Grants permission to list tags for a resource,Read,apps,,
104,ListTagsForResource,Grants permission to list tags for a resource,Read,campaigns,,
105,ListTagsForResource,Grants permission to list tags for a resource,Read,segments,,
106,ListTemplateVersions,Grants permission to retrieve all versions about a specific template,List,templates*,,
107,ListTemplates,Grants permission to retrieve metadata about the queried templates,List,templates*,,
108,PhoneNumberValidate,"Grants permission to obtain metadata for a phone number, such as the number type (mobile, landline, or VoIP), location, and provider",Read,phone-number-validate*,,
109,PutEventStream,Grants permission to create or update an event stream for an app,Write,apps*,,
110,PutEvents,Grants permission to create or update events for an app,Write,apps*,,
111,RemoveAttributes,Grants permission to remove the attributes for an app,Write,apps*,,
112,SendMessages,Grants permission to send an SMS message or push notification to specific endpoints,Write,apps*,,
113,SendOTPMessage,Grants permission to send an OTP code to a user of your application,Write,apps*,,
114,SendUsersMessages,Grants permission to send an SMS message or push notification to all endpoints that are associated with a specific user ID,Write,apps*,,
115,TagResource,Grants permission to add tags to a resource,Tagging,apps,,
116,TagResource,Grants permission to add tags to a resource,Tagging,campaigns,,
117,TagResource,Grants permission to add tags to a resource,Tagging,segments,,
118,TagResource,Grants permission to add tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
119,UntagResource,Grants permission to remove tags from a resource,Tagging,apps,,
