,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateFileGateway,Grants permission to associate a File Gateway instance with an Amazon FSx for Windows File Server file system,Write,file-system*,,
1,AssociateFileSystemAliases,Grants permission to associate DNS aliases with an Amazon FSx for Windows File Server file system,Write,file-system*,,
2,CancelDataRepositoryTask,Grants permission to cancel a data repository task,Write,task*,,
3,CopyBackup,Grants permission to copy a backup,Write,backup*,,fsx:TagResource
4,CopyBackup,Grants permission to copy a backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,backup*,,fsx:TagResource
6,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,file-system,,
7,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,volume,,
8,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateDataRepositoryAssociation,Grants permission to create a new data respository association for an Amazon FSx for Lustre file system,Write,association*,,fsx:TagResource
10,CreateDataRepositoryAssociation,Grants permission to create a new data respository association for an Amazon FSx for Lustre file system,Write,file-system*,,
11,CreateDataRepositoryAssociation,Grants permission to create a new data respository association for an Amazon FSx for Lustre file system,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateDataRepositoryTask,Grants permission to create a new data respository task for an Amazon FSx for Lustre file system,Write,file-system*,,fsx:TagResource
13,CreateDataRepositoryTask,Grants permission to create a new data respository task for an Amazon FSx for Lustre file system,Write,task*,,
14,CreateDataRepositoryTask,Grants permission to create a new data respository task for an Amazon FSx for Lustre file system,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateFileSystem,"Grants permission to create a new, empty, Amazon FSx file system",Write,file-system*,,fsx:TagResource
16,CreateFileSystem,"Grants permission to create a new, empty, Amazon FSx file system",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateFileSystemFromBackup,Grants permission to create a new Amazon FSx file system from an existing backup,Write,backup*,,fsx:TagResource
18,CreateFileSystemFromBackup,Grants permission to create a new Amazon FSx file system from an existing backup,Write,file-system*,,
19,CreateFileSystemFromBackup,Grants permission to create a new Amazon FSx file system from an existing backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,CreateSnapshot,Grants permission to create a new snapshot on a volume,Write,snapshot*,,fsx:TagResource
21,CreateSnapshot,Grants permission to create a new snapshot on a volume,Write,volume*,,
22,CreateSnapshot,Grants permission to create a new snapshot on a volume,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateStorageVirtualMachine,Grants permission to create a new storage virtual machine in an Amazon FSx for Ontap file system,Write,file-system*,,fsx:TagResource
24,CreateStorageVirtualMachine,Grants permission to create a new storage virtual machine in an Amazon FSx for Ontap file system,Write,storage-virtual-machine*,,
25,CreateStorageVirtualMachine,Grants permission to create a new storage virtual machine in an Amazon FSx for Ontap file system,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,CreateVolume,Grants permission to create a new volume,Write,volume*,,fsx:TagResource
27,CreateVolume,Grants permission to create a new volume,Write,snapshot,,
28,CreateVolume,Grants permission to create a new volume,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  fsx:StorageVirtualMachineId  fsx:ParentVolumeId,
29,CreateVolumeFromBackup,Grants permission to create a new volume from backup,Write,backup*,,fsx:TagResource
30,CreateVolumeFromBackup,Grants permission to create a new volume from backup,Write,storage-virtual-machine*,,
31,CreateVolumeFromBackup,Grants permission to create a new volume from backup,Write,volume*,,
32,CreateVolumeFromBackup,Grants permission to create a new volume from backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  fsx:StorageVirtualMachineId,
33,DeleteBackup,"Grants permission to delete a backup, deleting its contents. After deletion, the backup no longer exists, and its data is no longer available",Write,backup*,,
34,DeleteDataRepositoryAssociation,Grants permission to delete a data repository association,Write,association*,,
35,DeleteFileSystem,"Grants permission to delete a file system, deleting its contents and any existing automatic backups of the file system",Write,file-system*,,fsx:CreateBackup  fsx:TagResource
36,DeleteFileSystem,"Grants permission to delete a file system, deleting its contents and any existing automatic backups of the file system",Write,backup,,
37,DeleteFileSystem,"Grants permission to delete a file system, deleting its contents and any existing automatic backups of the file system",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
38,DeleteSnapshot,Grants permission to delete a snapshot on a volume,Write,snapshot*,,
39,DeleteStorageVirtualMachine,"Grants permission to delete a storage virtual machine, deleting its contents",Write,storage-virtual-machine*,,
40,DeleteVolume,"Grants permission to delete a volume, deleting its contents and any existing automatic backups of the volume",Write,volume*,,
41,DeleteVolume,"Grants permission to delete a volume, deleting its contents and any existing automatic backups of the volume",Write,backup,,
42,DeleteVolume,"Grants permission to delete a volume, deleting its contents and any existing automatic backups of the volume",Write,,aws:RequestTag/${TagKey}  aws:TagKeys  fsx:StorageVirtualMachineId  fsx:ParentVolumeId,
43,DescribeAssociatedFileGateways,Grants permission to describe the File Gateway instances associated with an Amazon FSx for Windows File Server file system,Read,file-system*,,
