,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchExecuteStatement,Grants permission to run a batch SQL statement over an array of data,Write,cluster*,,
1,BatchExecuteStatement,Grants permission to run a batch SQL statement over an array of data,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
2,BeginTransaction,Grants permission to start a SQL transaction,Write,cluster*,,
3,BeginTransaction,Grants permission to start a SQL transaction,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
4,CommitTransaction,Grants permission to end a SQL transaction started with the BeginTransaction operation and commits the changes,Write,cluster*,,rds-data:BeginTransaction
5,CommitTransaction,Grants permission to end a SQL transaction started with the BeginTransaction operation and commits the changes,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
6,ExecuteSql,Grants permission to run one or more SQL statements. This operation is deprecated. Use the BatchExecuteStatement or ExecuteStatement operation,Write,cluster*,,
7,ExecuteSql,Grants permission to run one or more SQL statements. This operation is deprecated. Use the BatchExecuteStatement or ExecuteStatement operation,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
8,ExecuteStatement,Grants permission to run a SQL statement against a database,Write,cluster*,,
9,ExecuteStatement,Grants permission to run a SQL statement against a database,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
10,RollbackTransaction,Grants permission to perform a rollback of a transaction. Rolling back a transaction cancels its changes,Write,cluster*,,rds-data:BeginTransaction
11,RollbackTransaction,Grants permission to perform a rollback of a transaction. Rolling back a transaction cancels its changes,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
