,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,action*,aws:ResourceTag/${TagKey},
1,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,artifact*,aws:ResourceTag/${TagKey},
2,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,context*,aws:ResourceTag/${TagKey},
3,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,experiment*,aws:ResourceTag/${TagKey},
4,AddAssociation,"Grants permission to associate a lineage entity (artifact, context, action, experiment, experiment-trial-component) to each other",Write,experiment-trial-component*,aws:ResourceTag/${TagKey},
5,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,action,aws:ResourceTag/${TagKey},
6,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,algorithm,aws:ResourceTag/${TagKey},
7,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,app,aws:ResourceTag/${TagKey},
8,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,app-image-config,aws:ResourceTag/${TagKey},
9,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,artifact,aws:ResourceTag/${TagKey},
10,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,automl-job,aws:ResourceTag/${TagKey},
11,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,code-repository,aws:ResourceTag/${TagKey},
12,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,compilation-job,aws:ResourceTag/${TagKey},
13,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,context,aws:ResourceTag/${TagKey},
14,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,data-quality-job-definition,aws:ResourceTag/${TagKey},
15,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,device,aws:ResourceTag/${TagKey},
16,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,device-fleet,aws:ResourceTag/${TagKey},
17,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,domain,aws:ResourceTag/${TagKey},
18,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,edge-deployment-plan,aws:ResourceTag/${TagKey},
19,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,edge-packaging-job,aws:ResourceTag/${TagKey},
20,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,endpoint,aws:ResourceTag/${TagKey},
21,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,endpoint-config,aws:ResourceTag/${TagKey},
22,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,experiment,aws:ResourceTag/${TagKey},
23,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,experiment-trial,aws:ResourceTag/${TagKey},
24,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,experiment-trial-component,aws:ResourceTag/${TagKey},
25,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,feature-group,aws:ResourceTag/${TagKey},
26,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,flow-definition,aws:ResourceTag/${TagKey},
27,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,human-task-ui,aws:ResourceTag/${TagKey},
28,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,hyper-parameter-tuning-job,aws:ResourceTag/${TagKey},
29,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,image,aws:ResourceTag/${TagKey},
30,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,inference-recommendations-job,aws:ResourceTag/${TagKey},
31,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,labeling-job,aws:ResourceTag/${TagKey},
32,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model,aws:ResourceTag/${TagKey},
33,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-bias-job-definition,aws:ResourceTag/${TagKey},
34,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-explainability-job-definition,aws:ResourceTag/${TagKey},
35,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-package,aws:ResourceTag/${TagKey},
36,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-package-group,aws:ResourceTag/${TagKey},
37,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,model-quality-job-definition,aws:ResourceTag/${TagKey},
38,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,monitoring-schedule,aws:ResourceTag/${TagKey},
39,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,notebook-instance,aws:ResourceTag/${TagKey},
40,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,pipeline,aws:ResourceTag/${TagKey},
41,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,processing-job,aws:ResourceTag/${TagKey},
42,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,project,aws:ResourceTag/${TagKey},
43,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,studio-lifecycle-config,aws:ResourceTag/${TagKey},
44,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,training-job,aws:ResourceTag/${TagKey},
45,AddTags,Grants permission to add or overwrite one or more tags for the specified Amazon SageMaker resource,Tagging,transform-job,aws:ResourceTag/${TagKey},
