,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ActivateKeySigningKey,Grants permission to activate a key-signing key so that it can be used for signing by DNSSEC,Write,hostedzone*,,
1,AssociateVPCWithHostedZone,Grants permission to associate an additional Amazon VPC with a private hosted zone,Write,hostedzone,,ec2:DescribeVpcs
2,ChangeCidrCollection,Grants permission to create or delete CIDR blocks within a CIDR collection,Write,cidrcollection*,,
3,ChangeResourceRecordSets,"Grants permission to create, update, or delete a record, which contains authoritative DNS information for a specified domain or subdomain name",Write,hostedzone*,,
4,ChangeResourceRecordSets,"Grants permission to create, update, or delete a record, which contains authoritative DNS information for a specified domain or subdomain name",Write,,route53:ChangeResourceRecordSetsNormalizedRecordNames  route53:ChangeResourceRecordSetsRecordTypes  route53:ChangeResourceRecordSetsActions,
5,ChangeTagsForResource,"Grants permission to add, edit, or delete tags for a health check or a hosted zone",Tagging,healthcheck*,,
6,ChangeTagsForResource,"Grants permission to add, edit, or delete tags for a health check or a hosted zone",Tagging,hostedzone*,,
7,CreateCidrCollection,Grants permission to create a new CIDR collection,Write,,,
8,CreateHealthCheck,"Grants permission to create a new health check, which monitors the health and performance of your web applications, web servers, and other resources",Write,,,
9,CreateHostedZone,"Grants permission to create a public hosted zone, which you use to specify how the Domain Name System (DNS) routes traffic on the Internet for a domain, such as example.com, and its subdomains",Write,,,ec2:DescribeVpcs
10,CreateKeySigningKey,Grants permission to create a new key-signing key associated with a hosted zone,Write,hostedzone*,,
11,CreateQueryLoggingConfig,Grants permission to create a configuration for DNS query logging,Write,hostedzone*,,
12,CreateReusableDelegationSet,Grants permission to create a delegation set (a group of four name servers) that can be reused by multiple hosted zones,Write,,,
13,CreateTrafficPolicy,"Grants permission to create a traffic policy, which you use to create multiple DNS records for one domain name (such as example.com) or one subdomain name (such as www.example.com)",Write,,,
14,CreateTrafficPolicyInstance,Grants permission to create records in a specified hosted zone based on the settings in a specified traffic policy version,Write,hostedzone*,,
15,CreateTrafficPolicyInstance,Grants permission to create records in a specified hosted zone based on the settings in a specified traffic policy version,Write,trafficpolicy*,,
16,CreateTrafficPolicyVersion,Grants permission to create a new version of an existing traffic policy,Write,trafficpolicy*,,
17,CreateVPCAssociationAuthorization,"Grants permission to authorize the AWS account that created a specified VPC to submit an AssociateVPCWithHostedZone request, which associates the VPC with a specified hosted zone that was created by a different account",Write,hostedzone*,,
18,DeactivateKeySigningKey,Grants permission to deactivate a key-signing key so that it will not be used for signing by DNSSEC,Write,hostedzone*,,
19,DeleteCidrCollection,Grants permission to delete a CIDR collection,Write,cidrcollection*,,
20,DeleteHealthCheck,Grants permission to delete a health check,Write,healthcheck*,,
21,DeleteHostedZone,Grants permission to delete a hosted zone,Write,hostedzone*,,
22,DeleteKeySigningKey,Grants permission to delete a key-signing key,Write,hostedzone*,,
23,DeleteQueryLoggingConfig,Grants permission to delete a configuration for DNS query logging,Write,queryloggingconfig*,,
24,DeleteReusableDelegationSet,Grants permission to delete a reusable delegation set,Write,delegationset*,,
25,DeleteTrafficPolicy,Grants permission to delete a traffic policy,Write,trafficpolicy*,,
26,DeleteTrafficPolicyInstance,Grants permission to delete a traffic policy instance and all the records that Route 53 created when you created the instance,Write,trafficpolicyinstance*,,
27,DeleteVPCAssociationAuthorization,Grants permission to remove authorization for associating an Amazon Virtual Private Cloud with a Route 53 private hosted zone,Write,hostedzone*,,
28,DisableHostedZoneDNSSEC,Grants permission to disable DNSSEC signing in a specific hosted zone,Write,hostedzone*,,
29,DisassociateVPCFromHostedZone,Grants permission to disassociate an Amazon Virtual Private Cloud from a Route 53 private hosted zone,Write,hostedzone,,ec2:DescribeVpcs
30,EnableHostedZoneDNSSEC,Grants permission to enable DNSSEC signing in a specific hosted zone,Write,hostedzone*,,
31,GetAccountLimit,"Grants permission to get the specified limit for the current account, for example, the maximum number of health checks that you can create using the account",Read,,,
32,GetChange,"Grants permission to get the current status of a request to create, update, or delete one or more records",List,change*,,
33,GetCheckerIpRanges,Grants permission to get a list of the IP ranges that are used by Route 53 health checkers to check the health of your resources,List,,,
34,GetDNSSEC,"Grants permission to get information about DNSSEC for a specific hosted zone, including the key-signing keys in the hosted zone",Read,hostedzone*,,
35,GetGeoLocation,Grants permission to get information about whether a specified geographic location is supported for Route 53 geolocation records,List,,,
36,GetHealthCheck,Grants permission to get information about a specified health check,Read,healthcheck*,,
37,GetHealthCheckCount,Grants permission to get the number of health checks that are associated with the current AWS account,List,,,
38,GetHealthCheckLastFailureReason,Grants permission to get the reason that a specified health check failed most recently,List,healthcheck*,,
39,GetHealthCheckStatus,Grants permission to get the status of a specified health check,List,healthcheck*,,
40,GetHostedZone,Grants permission to get information about a specified hosted zone including the four name servers that Route 53 assigned to the hosted zone,List,hostedzone*,,
41,GetHostedZoneCount,Grants permission to get the number of hosted zones that are associated with the current AWS account,List,,,
42,GetHostedZoneLimit,Grants permission to get the specified limit for a specified hosted zone,Read,hostedzone*,,
43,GetQueryLoggingConfig,Grants permission to get information about a specified configuration for DNS query logging,Read,queryloggingconfig*,,
44,GetReusableDelegationSet,"Grants permission to get information about a specified reusable delegation set, including the four name servers that are assigned to the delegation set",List,delegationset*,,
45,GetReusableDelegationSetLimit,Grants permission to get the maximum number of hosted zones that you can associate with the specified reusable delegation set,Read,delegationset*,,
46,GetTrafficPolicy,Grants permission to get information about a specified traffic policy version,Read,trafficpolicy*,,
