,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateServiceRoleToAccount,Associates the user's account with IAM roles controlling various permissions needed by AWS DeepLens for proper functionality.,Permissions management,,,
1,BatchGetDevice,Retrieves a list of AWS DeepLens devices.,Read,device*,,
2,BatchGetModel,Retrieves a list of AWS DeepLens Models.,Read,model*,,
3,BatchGetProject,Retrieves a list of AWS DeepLens Projects.,Read,project*,,
4,CreateDeviceCertificates,Creates a certificate package that is used to successfully authenticate and Register an AWS DeepLens device.,Write,,,
5,CreateModel,Creates a new AWS DeepLens Model.,Write,,,
6,CreateProject,Creates a new AWS DeepLens Project.,Write,,,
7,DeleteModel,Deletes an AWS DeepLens Model.,Write,model*,,
8,DeleteProject,Deletes an AWS DeepLens Project.,Write,project*,,
9,DeployProject,Deploys an AWS DeepLens project to a registered AWS DeepLens device.,Write,device*,,
10,DeployProject,Deploys an AWS DeepLens project to a registered AWS DeepLens device.,Write,project*,,
11,DeregisterDevice,Begins a device de-registration workflow for a registered AWS DeepLens device.,Write,device*,,
12,GetAssociatedResources,Retrieves the account level resources associated with the user's account.,Read,,,
13,GetDeploymentStatus,"Retrieves the the deployment status of a particular AWS DeepLens device, along with any associated metadata.",Read,,,
14,GetDevice,Retrieves information about an AWS DeepLens device.,Read,device*,,
15,GetModel,Retrieves an AWS DeepLens Model.,Read,model*,,
16,GetProject,Retrieves an AWS DeepLens Project.,Read,project*,,
17,ImportProjectFromTemplate,Creates a new AWS DeepLens project from a sample project template.,Write,,,
18,ListDeployments,Retrieves a list of AWS DeepLens Deployment identifiers.,List,,,
19,ListDevices,Retrieves a list of AWS DeepLens device identifiers.,List,,,
20,ListModels,Retrieves a list of AWS DeepLens Model identifiers.,List,,,
21,ListProjects,Retrieves a list of AWS DeepLens Project identifiers.,List,,,
22,RegisterDevice,Begins a device registration workflow for an AWS DeepLens device.,Write,,,
23,RemoveProject,Removes a deployed AWS DeepLens project from an AWS DeepLens device.,Write,device*,,
24,UpdateProject,Updates an existing AWS DeepLens Project.,Write,project*,,
