,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ActivatePipeline,"Grants permission to validate the specified pipeline and starts processing pipeline tasks. If the pipeline does not pass validation, activation fails",Write,pipeline*,,
1,ActivatePipeline,"Grants permission to validate the specified pipeline and starts processing pipeline tasks. If the pipeline does not pass validation, activation fails",Write,,datapipeline:PipelineCreator  datapipeline:Tag  datapipeline:workerGroup,
2,AddTags,Grants permission to add or modify tags for the specified pipeline,Tagging,pipeline*,,
3,AddTags,Grants permission to add or modify tags for the specified pipeline,Tagging,,datapipeline:PipelineCreator  datapipeline:Tag  aws:TagKeys  aws:RequestTag/${TagKey},
4,CreatePipeline,"Grants permission to create a new, empty pipeline",Write,,aws:RequestTag/${TagKey}  aws:TagKeys  datapipeline:Tag,datapipeline:AddTags
5,DeactivatePipeline,Grants permission to Deactivate the specified running pipeline,Write,pipeline*,,
6,DeactivatePipeline,Grants permission to Deactivate the specified running pipeline,Write,,datapipeline:PipelineCreator  datapipeline:Tag  datapipeline:workerGroup,
7,DeletePipeline,"Grants permission to delete a pipeline, its pipeline definition, and its run history",Write,pipeline*,,
8,DeletePipeline,"Grants permission to delete a pipeline, its pipeline definition, and its run history",Write,,datapipeline:PipelineCreator  datapipeline:Tag,
9,DescribeObjects,Grants permission to get the object definitions for a set of objects associated with the pipeline,Read,pipeline*,,
10,DescribeObjects,Grants permission to get the object definitions for a set of objects associated with the pipeline,Read,,datapipeline:PipelineCreator  datapipeline:Tag,
11,DescribePipelines,Grants permission to retrieves metadata about one or more pipelines,Read,pipeline*,,
12,DescribePipelines,Grants permission to retrieves metadata about one or more pipelines,Read,,datapipeline:PipelineCreator  datapipeline:Tag,
13,EvaluateExpression,"Grants permission to task runners to call EvaluateExpression, to evaluate a string in the context of the specified object",Read,pipeline*,,
14,EvaluateExpression,"Grants permission to task runners to call EvaluateExpression, to evaluate a string in the context of the specified object",Read,,datapipeline:PipelineCreator  datapipeline:Tag,
15,GetAccountLimits [permission only],Grants permission to call GetAccountLimits,List,,,
16,GetPipelineDefinition,Grants permission to gets the definition of the specified pipeline,Read,pipeline*,,
17,GetPipelineDefinition,Grants permission to gets the definition of the specified pipeline,Read,,datapipeline:PipelineCreator  datapipeline:Tag  datapipeline:workerGroup,
18,ListPipelines,Grants permission to list the pipeline identifiers for all active pipelines that you have permission to access,List,,,
19,PollForTask,"Grants permission to task runners to call PollForTask, to receive a task to perform from AWS Data Pipeline",Write,,datapipeline:workerGroup,
20,PutAccountLimits [permission only],Grants permission to call PutAccountLimits,Write,,,
21,PutPipelineDefinition,"Grants permission to add tasks, schedules, and preconditions to the specified pipeline",Write,pipeline*,,
22,PutPipelineDefinition,"Grants permission to add tasks, schedules, and preconditions to the specified pipeline",Write,,datapipeline:PipelineCreator  datapipeline:Tag  datapipeline:workerGroup,
23,QueryObjects,Grants permission to query the specified pipeline for the names of objects that match the specified set of conditions,Read,pipeline*,,
24,QueryObjects,Grants permission to query the specified pipeline for the names of objects that match the specified set of conditions,Read,,datapipeline:PipelineCreator  datapipeline:Tag,
25,RemoveTags,Grants permission to remove existing tags from the specified pipeline,Tagging,pipeline*,,
26,RemoveTags,Grants permission to remove existing tags from the specified pipeline,Tagging,,datapipeline:PipelineCreator  datapipeline:Tag  aws:TagKeys  aws:RequestTag/${TagKey},
27,ReportTaskProgress,"Grants permission to task runners to call ReportTaskProgress, when they are assigned a task to acknowledge that it has the task",Write,pipeline*,,
28,ReportTaskRunnerHeartbeat,Grants permission to task runners to call ReportTaskRunnerHeartbeat every 15 minutes to indicate that they are operational,Write,,,
29,SetStatus,Grants permission to requests that the status of the specified physical or logical pipeline objects be updated in the specified pipeline,Write,pipeline*,,
30,SetStatus,Grants permission to requests that the status of the specified physical or logical pipeline objects be updated in the specified pipeline,Write,,datapipeline:PipelineCreator  datapipeline:Tag,
31,SetTaskStatus,Grants permission to task runners to call SetTaskStatus to notify AWS Data Pipeline that a task is completed and provide information about the final status,Write,pipeline*,,
32,ValidatePipelineDefinition,Grants permission to validate the specified pipeline definition to ensure that it is well formed and can be run without error,Read,pipeline*,,
33,ValidatePipelineDefinition,Grants permission to validate the specified pipeline definition to ensure that it is well formed and can be run without error,Read,,datapipeline:PipelineCreator  datapipeline:Tag  datapipeline:workerGroup,
