,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptEulas,Grants permission to accept EULAs,Write,eula*,,
1,CreateLaunchProfile,Grants permission to create a launch profile,Write,studio*,,ec2:CreateNetworkInterface  ec2:DescribeNatGateways  ec2:DescribeNetworkAcls  ec2:DescribeRouteTables  ec2:DescribeSubnets  ec2:DescribeVpcEndpoints  ec2:RunInstances
2,CreateLaunchProfile,Grants permission to create a launch profile,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
3,CreateStreamingImage,Grants permission to create a streaming image,Write,studio*,,ec2:DescribeImages  ec2:DescribeSnapshots  ec2:ModifyInstanceAttribute  ec2:ModifySnapshotAttribute  ec2:RegisterImage
4,CreateStreamingImage,Grants permission to create a streaming image,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
5,CreateStreamingSession,Grants permission to create a streaming session,Write,launch-profile*,,ec2:CreateNetworkInterface  ec2:CreateNetworkInterfacePermission  nimble:GetLaunchProfile  nimble:GetLaunchProfileInitialization  nimble:ListEulaAcceptances
6,CreateStreamingSession,Grants permission to create a streaming session,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
7,CreateStreamingSessionStream,Grants permission to create a StreamingSessionStream,Write,streaming-session*,,
8,CreateStreamingSessionStream,Grants permission to create a StreamingSessionStream,Write,,nimble:requesterPrincipalId,
9,CreateStudio,Grants permission to create a studio,Write,studio*,,iam:PassRole  sso:CreateManagedApplicationInstance
10,CreateStudio,Grants permission to create a studio,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
11,CreateStudioComponent,Grants permission to create a studio component. A studio component designates a network resource to which a launch profile will provide access,Write,studio*,,ds:AuthorizeApplication  ds:DescribeDirectories  ec2:DescribeSecurityGroups  fsx:DescribeFileSystems  iam:PassRole
12,CreateStudioComponent,Grants permission to create a studio component. A studio component designates a network resource to which a launch profile will provide access,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
13,DeleteLaunchProfile,Grants permission to delete a launch profile,Write,launch-profile*,,
14,DeleteLaunchProfileMember,Grants permission to delete a launch profile member,Write,launch-profile*,,
15,DeleteStreamingImage,Grants permission to delete a streaming image,Write,streaming-image*,,ec2:DeleteSnapshot  ec2:DeregisterImage  ec2:ModifyInstanceAttribute  ec2:ModifySnapshotAttribute
16,DeleteStreamingSession,Grants permission to delete a streaming session,Write,streaming-session*,,ec2:DeleteNetworkInterface
17,DeleteStreamingSession,Grants permission to delete a streaming session,Write,,nimble:requesterPrincipalId,
18,DeleteStudio,Grants permission to delete a studio,Write,studio*,,sso:DeleteManagedApplicationInstance
19,DeleteStudioComponent,Grants permission to delete a studio component,Write,studio-component*,,ds:UnauthorizeApplication
20,DeleteStudioMember,Grants permission to delete a studio member,Write,studio*,,
