,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateActivity,Grants permission to create an activity,Write,activity*,,
1,CreateActivity,Grants permission to create an activity,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateStateMachine,Grants permission to create a state machine,Write,statemachine*,,
3,CreateStateMachine,Grants permission to create a state machine,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteActivity,Grants permission to delete an activity,Write,activity*,,
5,DeleteStateMachine,Grants permission to delete a state machine,Write,statemachine*,,
6,DescribeActivity,Grants permission to describe an activity,Read,activity*,,
7,DescribeExecution,Grants permission to describe an execution,Read,execution*,,
8,DescribeStateMachine,Grants permission to describe a state machine,Read,statemachine*,,
9,DescribeStateMachineForExecution,Grants permission to describe the state machine for an execution,Read,execution*,,
10,GetActivityTask,Grants permission to be used by workers to retrieve a task (with the specified activity ARN) which has been scheduled for execution by a running state machine,Write,activity*,,
11,GetExecutionHistory,Grants permission to return the history of the specified execution as a list of events,Read,execution*,,
12,ListActivities,Grants permission to list the existing activities,List,,,
13,ListExecutions,Grants permission to list the executions of a state machine,Read,statemachine*,,
14,ListStateMachines,Grants permission to lists the existing state machines,List,,,
15,ListTagsForResource,Grants permission to list tags for an AWS Step Functions resource,Read,activity,,
16,ListTagsForResource,Grants permission to list tags for an AWS Step Functions resource,Read,statemachine,,
17,SendTaskFailure,Grants permission to report that the task identified by the taskToken failed,Write,,,
18,SendTaskHeartbeat,Grants permission to report to the service that the task represented by the specified taskToken is still making progress,Write,,,
19,SendTaskSuccess,Grants permission to report that the task identified by the taskToken completed successfully,Write,,,
20,StartExecution,Grants permission to start a state machine execution,Write,statemachine*,,
21,StartSyncExecution,Grants permission to start a Synchronous Express state machine execution,Write,statemachine*,,
22,StopExecution,Grants permission to stop an execution,Write,execution*,,
23,TagResource,Grants permission to tag an AWS Step Functions resource,Tagging,activity,,
24,TagResource,Grants permission to tag an AWS Step Functions resource,Tagging,statemachine,,
25,TagResource,Grants permission to tag an AWS Step Functions resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
26,UntagResource,Grants permission to remove a tag from an AWS Step Functions resource,Tagging,activity,,
27,UntagResource,Grants permission to remove a tag from an AWS Step Functions resource,Tagging,statemachine,,
28,UntagResource,Grants permission to remove a tag from an AWS Step Functions resource,Tagging,,aws:TagKeys,
29,UpdateStateMachine,Grants permission to update a state machine,Write,statemachine*,,
30,UpdateStateMachine,Grants permission to update a state machine,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
