,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateFileGateway [permission only],Grants permission to associate a File Gateway instance with an Amazon FSx for Windows File Server file system,Write,file-system*,,
1,AssociateFileSystemAliases,Grants permission to associate DNS aliases with an Amazon FSx for Windows File Server file system,Write,file-system*,,
2,CancelDataRepositoryTask,Grants permission to cancel a data repository task,Write,task*,,
3,CopyBackup,Grants permission to copy a backup,Write,backup*,,fsx:TagResource
4,CopyBackup,Grants permission to copy a backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,backup*,,fsx:TagResource
6,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,file-system,,
7,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,volume,,
8,CreateBackup,Grants permission to create a new backup of an Amazon FSx file system or an Amazon FSx volume,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateDataRepositoryAssociation,Grants permission to create a new data respository association for an Amazon FSx for Lustre file system,Write,association*,,fsx:TagResource
10,CreateDataRepositoryAssociation,Grants permission to create a new data respository association for an Amazon FSx for Lustre file system,Write,file-system*,,
11,CreateDataRepositoryAssociation,Grants permission to create a new data respository association for an Amazon FSx for Lustre file system,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateDataRepositoryTask,Grants permission to create a new data respository task for an Amazon FSx for Lustre file system,Write,file-system*,,fsx:TagResource
13,CreateDataRepositoryTask,Grants permission to create a new data respository task for an Amazon FSx for Lustre file system,Write,task*,,
14,CreateDataRepositoryTask,Grants permission to create a new data respository task for an Amazon FSx for Lustre file system,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateFileCache,"Grants permission to create a new, empty, Amazon file cache",Write,file-cache*,,ec2:DescribeSecurityGroups  ec2:DescribeSubnets  ec2:DescribeVpcs  fsx:CreateDataRepositoryAssociation  fsx:TagResource  logs:CreateLogGroup  logs:CreateLogStream  logs:PutLogEvents  s3:ListBucket
16,CreateFileCache,"Grants permission to create a new, empty, Amazon file cache",Write,association,fsx:NfsDataRepositoryEncryptionInTransitEnabled  fsx:NfsDataRepositoryAuthenticationEnabled,
17,CreateFileCache,"Grants permission to create a new, empty, Amazon file cache",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,CreateFileSystem,"Grants permission to create a new, empty, Amazon FSx file system",Write,file-system*,,fsx:TagResource
19,CreateFileSystem,"Grants permission to create a new, empty, Amazon FSx file system",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,CreateFileSystemFromBackup,Grants permission to create a new Amazon FSx file system from an existing backup,Write,backup*,,fsx:TagResource
21,CreateFileSystemFromBackup,Grants permission to create a new Amazon FSx file system from an existing backup,Write,file-system*,,
22,CreateFileSystemFromBackup,Grants permission to create a new Amazon FSx file system from an existing backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateSnapshot,Grants permission to create a new snapshot on a volume,Write,snapshot*,,fsx:TagResource
24,CreateSnapshot,Grants permission to create a new snapshot on a volume,Write,volume*,,
25,CreateSnapshot,Grants permission to create a new snapshot on a volume,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,CreateStorageVirtualMachine,Grants permission to create a new storage virtual machine in an Amazon FSx for Ontap file system,Write,file-system*,,fsx:TagResource
27,CreateStorageVirtualMachine,Grants permission to create a new storage virtual machine in an Amazon FSx for Ontap file system,Write,storage-virtual-machine*,,
28,CreateStorageVirtualMachine,Grants permission to create a new storage virtual machine in an Amazon FSx for Ontap file system,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,CreateVolume,Grants permission to create a new volume,Write,volume*,,fsx:TagResource
30,CreateVolume,Grants permission to create a new volume,Write,snapshot,,
31,CreateVolume,Grants permission to create a new volume,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  fsx:StorageVirtualMachineId  fsx:ParentVolumeId,
32,CreateVolumeFromBackup,Grants permission to create a new volume from backup,Write,backup*,,fsx:TagResource
33,CreateVolumeFromBackup,Grants permission to create a new volume from backup,Write,storage-virtual-machine*,,
34,CreateVolumeFromBackup,Grants permission to create a new volume from backup,Write,volume*,,
