,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AbortEnvironmentUpdate,Grants permission to cancel in-progress environment configuration update or application version deployment,Write,environment*,elasticbeanstalk:InApplication,
1,AddTags,Grants permission to add tags to an Elastic Beanstalk resource and to update tag values,Tagging,application,,
2,AddTags,Grants permission to add tags to an Elastic Beanstalk resource and to update tag values,Tagging,applicationversion,,
3,AddTags,Grants permission to add tags to an Elastic Beanstalk resource and to update tag values,Tagging,configurationtemplate,,
4,AddTags,Grants permission to add tags to an Elastic Beanstalk resource and to update tag values,Tagging,environment,,
5,AddTags,Grants permission to add tags to an Elastic Beanstalk resource and to update tag values,Tagging,platform,,
6,AddTags,Grants permission to add tags to an Elastic Beanstalk resource and to update tag values,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,ApplyEnvironmentManagedAction,Grants permission to apply a scheduled managed action immediately,Write,environment*,elasticbeanstalk:InApplication,
8,AssociateEnvironmentOperationsRole,Grants permission to associate an operations role with an environment,Write,environment*,,
9,CheckDNSAvailability,Grants permission to check CNAME availability,Read,,,
10,ComposeEnvironments,"Grants permission to create or update a group of environments, each running a separate component of a single application",Write,application*,,
11,ComposeEnvironments,"Grants permission to create or update a group of environments, each running a separate component of a single application",Write,applicationversion*,elasticbeanstalk:InApplication,
12,CreateApplication,Grants permission to create a new application,Write,application*,,
13,CreateApplication,Grants permission to create a new application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateApplicationVersion,Grants permission to create an application version for an application,Write,application*,,
15,CreateApplicationVersion,Grants permission to create an application version for an application,Write,applicationversion*,elasticbeanstalk:InApplication,
16,CreateApplicationVersion,Grants permission to create an application version for an application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateConfigurationTemplate,Grants permission to create a configuration template,Write,configurationtemplate*,elasticbeanstalk:InApplication,
18,CreateConfigurationTemplate,Grants permission to create a configuration template,Write,,elasticbeanstalk:FromApplication  elasticbeanstalk:FromApplicationVersion  elasticbeanstalk:FromConfigurationTemplate  elasticbeanstalk:FromEnvironment  elasticbeanstalk:FromSolutionStack  elasticbeanstalk:FromPlatform  aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateEnvironment,Grants permission to launch an environment for an application,Write,environment*,elasticbeanstalk:InApplication,
20,CreateEnvironment,Grants permission to launch an environment for an application,Write,,elasticbeanstalk:FromApplicationVersion  elasticbeanstalk:FromConfigurationTemplate  elasticbeanstalk:FromSolutionStack  elasticbeanstalk:FromPlatform  aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreatePlatformVersion,Grants permission to create a new version of a custom platform,Write,platform*,,
22,CreatePlatformVersion,Grants permission to create a new version of a custom platform,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateStorageLocation,Grants permission to create the Amazon S3 storage location for the account,Write,,,
24,DeleteApplication,Grants permission to delete an application along with all associated versions and configurations,Write,application*,,
25,DeleteApplicationVersion,Grants permission to delete an application version from an application,Write,applicationversion*,elasticbeanstalk:InApplication,
26,DeleteConfigurationTemplate,Grants permission to delete a configuration template,Write,configurationtemplate*,elasticbeanstalk:InApplication,
27,DeleteEnvironmentConfiguration,Grants permission to delete the draft configuration associated with the running environment,Write,environment*,elasticbeanstalk:InApplication,
28,DeletePlatformVersion,Grants permission to delete a version of a custom platform,Write,platform*,,
29,DescribeAccountAttributes,"Grants permission to retrieve a list of account attributes, including resource quotas",Read,,,
30,DescribeApplicationVersions,Grants permission to retrieve a list of application versions stored in an AWS Elastic Beanstalk storage bucket,List,applicationversion,elasticbeanstalk:InApplication,
31,DescribeApplications,Grants permission to retrieve the descriptions of existing applications,List,application,,
32,DescribeConfigurationOptions,Grants permission to retrieve descriptions of environment configuration options,Read,configurationtemplate,elasticbeanstalk:InApplication,
33,DescribeConfigurationOptions,Grants permission to retrieve descriptions of environment configuration options,Read,environment,elasticbeanstalk:InApplication,
34,DescribeConfigurationOptions,Grants permission to retrieve descriptions of environment configuration options,Read,solutionstack,,
35,DescribeConfigurationSettings,Grants permission to retrieve a description of the settings for a configuration set,Read,configurationtemplate,elasticbeanstalk:InApplication,
36,DescribeConfigurationSettings,Grants permission to retrieve a description of the settings for a configuration set,Read,environment,elasticbeanstalk:InApplication,
37,DescribeEnvironmentHealth,Grants permission to retrieve information about the overall health of an environment,Read,environment,,
38,DescribeEnvironmentManagedActionHistory,Grants permission to retrieve a list of an environment's completed and failed managed actions,Read,environment,elasticbeanstalk:InApplication,
39,DescribeEnvironmentManagedActions,Grants permission to retrieve a list of an environment's upcoming and in-progress managed actions,Read,environment,elasticbeanstalk:InApplication,
40,DescribeEnvironmentResources,Grants permission to retrieve a list of AWS resources for an environment,Read,environment,elasticbeanstalk:InApplication,
41,DescribeEnvironments,Grants permission to retrieve descriptions for existing environments,List,environment,elasticbeanstalk:InApplication,
42,DescribeEvents,Grants permission to retrieve a list of event descriptions matching a set of criteria,Read,application,,
43,DescribeEvents,Grants permission to retrieve a list of event descriptions matching a set of criteria,Read,applicationversion,elasticbeanstalk:InApplication,
44,DescribeEvents,Grants permission to retrieve a list of event descriptions matching a set of criteria,Read,configurationtemplate,elasticbeanstalk:InApplication,
45,DescribeEvents,Grants permission to retrieve a list of event descriptions matching a set of criteria,Read,environment,elasticbeanstalk:InApplication,
46,DescribeInstancesHealth,Grants permission to retrieve more detailed information about the health of environment instances,Read,environment,,
47,DescribePlatformVersion,Grants permission to retrieve a description of a platform version,Read,platform,,
48,DisassociateEnvironmentOperationsRole,Grants permission to disassociate an operations role with an environment,Write,environment*,,
49,ListAvailableSolutionStacks,Grants permission to retrieve a list of the available solution stack names,List,solutionstack,,
50,ListPlatformBranches,Grants permission to retrieve a list of the available platform branches,List,,,
51,ListPlatformVersions,Grants permission to retrieve a list of the available platforms,List,platform,,
52,ListTagsForResource,Grants permission to retrieve a list of tags of an Elastic Beanstalk resource,Read,application,,
53,ListTagsForResource,Grants permission to retrieve a list of tags of an Elastic Beanstalk resource,Read,applicationversion,,
54,ListTagsForResource,Grants permission to retrieve a list of tags of an Elastic Beanstalk resource,Read,configurationtemplate,,
55,ListTagsForResource,Grants permission to retrieve a list of tags of an Elastic Beanstalk resource,Read,environment,,
56,ListTagsForResource,Grants permission to retrieve a list of tags of an Elastic Beanstalk resource,Read,platform,,
57,PutInstanceStatistics,Grants permission to submit instance statistics for enhanced health,Write,application*,,
58,PutInstanceStatistics,Grants permission to submit instance statistics for enhanced health,Write,environment*,,
59,RebuildEnvironment,Grants permission to delete and recreate all of the AWS resources for an environment and to force a restart,Write,environment*,elasticbeanstalk:InApplication,
60,RemoveTags,Grants permission to remove tags from an Elastic Beanstalk resource,Tagging,application,,
61,RemoveTags,Grants permission to remove tags from an Elastic Beanstalk resource,Tagging,applicationversion,,
62,RemoveTags,Grants permission to remove tags from an Elastic Beanstalk resource,Tagging,configurationtemplate,,
63,RemoveTags,Grants permission to remove tags from an Elastic Beanstalk resource,Tagging,environment,,
64,RemoveTags,Grants permission to remove tags from an Elastic Beanstalk resource,Tagging,platform,,
65,RemoveTags,Grants permission to remove tags from an Elastic Beanstalk resource,Tagging,,aws:TagKeys,
66,RequestEnvironmentInfo,Grants permission to initiate a request to compile information of the deployed environment,Read,environment*,elasticbeanstalk:InApplication,
67,RestartAppServer,Grants permission to request an environment to restart the application container server running on each Amazon EC2 instance,Write,environment*,elasticbeanstalk:InApplication,
68,RetrieveEnvironmentInfo,Grants permission to retrieve the compiled information from a RequestEnvironmentInfo request,Read,environment*,elasticbeanstalk:InApplication,
69,SwapEnvironmentCNAMEs,Grants permission to swap the CNAMEs of two environments,Write,environment*,elasticbeanstalk:InApplication,
70,SwapEnvironmentCNAMEs,Grants permission to swap the CNAMEs of two environments,Write,,elasticbeanstalk:FromEnvironment,
71,TerminateEnvironment,Grants permission to terminate an environment,Write,environment*,elasticbeanstalk:InApplication,
72,UpdateApplication,Grants permission to update an application with specified properties,Write,application*,,
73,UpdateApplicationResourceLifecycle,Grants permission to update the application version lifecycle policy associated with the application,Write,application*,,
