,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddLeaderboardAccessPermission [permission only],Grants permission to add access for a private leaderboard,Write,leaderboard*,,
1,AddLeaderboardAccessPermission [permission only],Grants permission to add access for a private leaderboard,Write,,deepracer:UserToken  deepracer:MultiUser,
2,AdminGetAccountConfig [permission only],Grants permission to get current admin multiuser configuration for this account,Read,,,
3,AdminListAssociatedResources [permission only],Grants permission to list all deepracer users with their associated resources created under this account,Read,,,
4,AdminListAssociatedUsers [permission only],Grants permission to list user data for all users associated with this account,Read,,,
5,AdminManageUser [permission only],Grants permission to manage a user associated with this account,Write,,,
6,AdminSetAccountConfig [permission only],Grants permission to set configuration options for this account,Write,,,
7,CloneReinforcementLearningModel [permission only],Grants permission to clone an existing DeepRacer model,Write,reinforcement_learning_model*,,
8,CloneReinforcementLearningModel [permission only],Grants permission to clone an existing DeepRacer model,Write,track*,,
9,CloneReinforcementLearningModel [permission only],Grants permission to clone an existing DeepRacer model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  deepracer:UserToken  deepracer:MultiUser,
10,CreateCar [permission only],Grants permission to create a DeepRacer car in your garage,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  deepracer:UserToken  deepracer:MultiUser,
11,CreateLeaderboard [permission only],Grants permission to create a leaderboard,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  deepracer:UserToken  deepracer:MultiUser,
12,CreateLeaderboardAccessToken [permission only],Grants permission to create an access token for a private leaderboard,Write,leaderboard*,,
13,CreateLeaderboardAccessToken [permission only],Grants permission to create an access token for a private leaderboard,Write,,deepracer:UserToken  deepracer:MultiUser,
14,CreateLeaderboardSubmission [permission only],Grants permission to submit a DeepRacer model to be evaluated for leaderboards,Write,leaderboard*,,
15,CreateLeaderboardSubmission [permission only],Grants permission to submit a DeepRacer model to be evaluated for leaderboards,Write,reinforcement_learning_model*,,
16,CreateLeaderboardSubmission [permission only],Grants permission to submit a DeepRacer model to be evaluated for leaderboards,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  deepracer:UserToken  deepracer:MultiUser,
17,CreateReinforcementLearningModel [permission only],Grants permission to create ra einforcement learning model for DeepRacer,Write,track*,,
18,CreateReinforcementLearningModel [permission only],Grants permission to create ra einforcement learning model for DeepRacer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  deepracer:UserToken  deepracer:MultiUser,
19,DeleteLeaderboard [permission only],Grants permission to delete a leaderboard,Write,leaderboard*,,
20,DeleteLeaderboard [permission only],Grants permission to delete a leaderboard,Write,,deepracer:UserToken  deepracer:MultiUser,
21,DeleteModel [permission only],Grants permission to delete a DeepRacer model,Write,reinforcement_learning_model*,,
22,DeleteModel [permission only],Grants permission to delete a DeepRacer model,Write,,deepracer:UserToken  deepracer:MultiUser,
23,EditLeaderboard [permission only],Grants permission to edit a leaderboard,Write,leaderboard*,,
24,EditLeaderboard [permission only],Grants permission to edit a leaderboard,Write,,deepracer:UserToken  deepracer:MultiUser,
25,GetAccountConfig [permission only],Grants permission to get current multiuser configuration for this account,Read,,deepracer:UserToken  deepracer:MultiUser,
26,GetAlias [permission only],Grants permission to retrieve the user's alias for submitting a DeepRacer model to leaderboards,Read,,deepracer:UserToken  deepracer:MultiUser,
27,GetAssetUrl [permission only],Grants permission to download artifacts for an existing DeepRacer model,Read,reinforcement_learning_model*,,
28,GetAssetUrl [permission only],Grants permission to download artifacts for an existing DeepRacer model,Read,,deepracer:UserToken  deepracer:MultiUser,
29,GetCar [permission only],Grants permission to retrieve a specific DeepRacer car from your garage,Read,car*,,
30,GetCar [permission only],Grants permission to retrieve a specific DeepRacer car from your garage,Read,,deepracer:UserToken  deepracer:MultiUser,
31,GetCars [permission only],Grants permission to view all the DeepRacer cars in your garage,Read,,deepracer:UserToken  deepracer:MultiUser,
32,GetEvaluation [permission only],Grants permission to retrieve information about an existing DeepRacer model's evaluation jobs,Read,evaluation_job*,,
33,GetEvaluation [permission only],Grants permission to retrieve information about an existing DeepRacer model's evaluation jobs,Read,,deepracer:UserToken  deepracer:MultiUser,
