,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptInputDeviceTransfer,Grants permission to accept an input device transfer,Write,input-device*,,
1,BatchDelete,"Grants permission to delete channels, inputs, input security groups, and multiplexes",Write,,,
2,BatchStart,Grants permission to start channels and multiplexes,Write,,,
3,BatchStop,Grants permission to stop channels and multiplexes,Write,,,
4,BatchUpdateSchedule,Grants permission to add and remove actions from a channel's schedule,Write,channel*,,
5,CancelInputDeviceTransfer,Grants permission to cancel an input device transfer,Write,input-device*,,
6,ClaimDevice,Grants permission to claim an input device,Write,input-device*,,
7,CreateChannel,Grants permission to create a channel,Write,channel*,,
8,CreateChannel,Grants permission to create a channel,Write,input*,,
9,CreateChannel,Grants permission to create a channel,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateInput,Grants permission to create an input,Write,input*,,
11,CreateInput,Grants permission to create an input,Write,input-security-group*,,
12,CreateInput,Grants permission to create an input,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateInputSecurityGroup,Grants permission to create an input security group,Write,input-security-group*,,
14,CreateInputSecurityGroup,Grants permission to create an input security group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateMultiplex,Grants permission to create a multiplex,Write,multiplex*,,
16,CreateMultiplex,Grants permission to create a multiplex,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateMultiplexProgram,Grants permission to create a multiplex program,Write,multiplex*,,
18,CreatePartnerInput,Grants permission to create a partner input,Write,input*,,
19,CreatePartnerInput,Grants permission to create a partner input,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,CreateTags,"Grants permission to create tags for channels, inputs, input security groups, multiplexes, and reservations",Tagging,channel,,
21,CreateTags,"Grants permission to create tags for channels, inputs, input security groups, multiplexes, and reservations",Tagging,input,,
22,CreateTags,"Grants permission to create tags for channels, inputs, input security groups, multiplexes, and reservations",Tagging,input-security-group,,
23,CreateTags,"Grants permission to create tags for channels, inputs, input security groups, multiplexes, and reservations",Tagging,multiplex,,
24,CreateTags,"Grants permission to create tags for channels, inputs, input security groups, multiplexes, and reservations",Tagging,reservation,,
25,CreateTags,"Grants permission to create tags for channels, inputs, input security groups, multiplexes, and reservations",Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
26,DeleteChannel,Grants permission to delete a channel,Write,channel*,,
27,DeleteInput,Grants permission to delete an input,Write,input*,,
28,DeleteInputSecurityGroup,Grants permission to delete an input security group,Write,input-security-group*,,
29,DeleteMultiplex,Grants permission to delete a multiplex,Write,multiplex*,,
30,DeleteMultiplexProgram,Grants permission to delete a multiplex program,Write,multiplex*,,
31,DeleteReservation,Grants permission to delete an expired reservation,Write,reservation*,,
32,DeleteSchedule,Grants permission to delete all schedule actions for a channel,Write,channel*,,
33,DeleteTags,"Grants permission to delete tags from channels, inputs, input security groups, multiplexes, and reservations",Tagging,channel,,
34,DeleteTags,"Grants permission to delete tags from channels, inputs, input security groups, multiplexes, and reservations",Tagging,input,,
35,DeleteTags,"Grants permission to delete tags from channels, inputs, input security groups, multiplexes, and reservations",Tagging,input-security-group,,
36,DeleteTags,"Grants permission to delete tags from channels, inputs, input security groups, multiplexes, and reservations",Tagging,multiplex,,
37,DeleteTags,"Grants permission to delete tags from channels, inputs, input security groups, multiplexes, and reservations",Tagging,reservation,,
38,DeleteTags,"Grants permission to delete tags from channels, inputs, input security groups, multiplexes, and reservations",Tagging,,aws:TagKeys,
39,DescribeChannel,Grants permission to get details about a channel,Read,channel*,,
40,DescribeInput,Grants permission to describe an input,Read,input*,,
41,DescribeInputDevice,Grants permission to describe an input device,Read,input-device*,,
42,DescribeInputDeviceThumbnail,Grants permission to describe an input device thumbnail,Read,input-device*,,
43,DescribeInputSecurityGroup,Grants permission to describe an input security group,Read,input-security-group*,,
