,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AllocateStaticIp,Grants permission to create a static IP address that can be attached to an instance,Write,,,
1,AttachCertificateToDistribution,Grants permission to attach an SSL/TLS certificate to your Amazon Lightsail content delivery network (CDN) distribution,Write,Certificate*,,
2,AttachCertificateToDistribution,Grants permission to attach an SSL/TLS certificate to your Amazon Lightsail content delivery network (CDN) distribution,Write,Distribution*,,
3,AttachDisk,Grants permission to attach a disk to an instance,Write,Disk*,,
4,AttachInstancesToLoadBalancer,Grants permission to attach one or more instances to a load balancer,Write,LoadBalancer*,,
5,AttachLoadBalancerTlsCertificate,Grants permission to attach a TLS certificate to a load balancer,Write,LoadBalancer*,,
6,AttachStaticIp,Grants permission to attach a static IP address to an instance,Write,Instance*,,
7,AttachStaticIp,Grants permission to attach a static IP address to an instance,Write,StaticIp*,,
8,CloseInstancePublicPorts,Grants permission to close a public port of an instance,Write,Instance*,,
9,CopySnapshot,Grants permission to copy a snapshot from one AWS Region to another in Amazon Lightsail,Write,,,
10,CreateBucket,Grants permission to create an Amazon Lightsail bucket,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateBucketAccessKey,Grants permission to create a new access key for the specified bucket,Write,Bucket*,,
12,CreateCertificate,Grants permission to create an SSL/TLS certificate,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateCloudFormationStack,Grants permission to create a new Amazon EC2 instance from an exported Amazon Lightsail snapshot,Write,,,
14,CreateContactMethod,Grants permission to create an email or SMS text message contact method,Write,,,
15,CreateContainerService,Grants permission to create an Amazon Lightsail container service,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateContainerServiceDeployment,Grants permission to create a deployment for your Amazon Lightsail container service,Write,ContainerService*,,
17,CreateContainerServiceRegistryLogin,Grants permission to create a temporary set of log in credentials that you can use to log in to the Docker process on your local machine,Write,,,
18,CreateDisk,Grants permission to create a disk,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateDiskFromSnapshot,Grants permission to create a disk from snapshot,Write,DiskSnapshot*,,
20,CreateDiskFromSnapshot,Grants permission to create a disk from snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreateDiskSnapshot,Grants permission to create a disk snapshot,Write,Disk,,
22,CreateDiskSnapshot,Grants permission to create a disk snapshot,Write,Instance,,
23,CreateDiskSnapshot,Grants permission to create a disk snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,CreateDistribution,Grants permission to create an Amazon Lightsail content delivery network (CDN) distribution,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,CreateDomain,Grants permission to create a domain resource for the specified domain name,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
