,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateApprovalRuleTemplateWithRepository,Grants permission to associate an approval rule template with a repository,Write,repository*,,
1,BatchAssociateApprovalRuleTemplateWithRepositories,Grants permission to associate an approval rule template with multiple repositories in a single operation,Write,repository*,,
2,BatchDescribeMergeConflicts,Grants permission to get information about multiple merge conflicts when attempting to merge two commits using either the three-way merge or the squash merge option,Read,repository*,,
3,BatchDisassociateApprovalRuleTemplateFromRepositories,Grants permission to remove the association between an approval rule template and multiple repositories in a single operation,Write,repository*,,
4,BatchGetCommits,Grants permission to get return information about one or more commits in an AWS CodeCommit repository,Read,repository*,,
5,BatchGetPullRequests [permission only],Grants permission to return information about one or more pull requests in an AWS CodeCommit repository,Read,repository*,,
6,BatchGetRepositories,Grants permission to get information about multiple repositories,Read,repository*,,
7,CancelUploadArchive [permission only],Grants permission to cancel the uploading of an archive to a pipeline in AWS CodePipeline,Read,repository*,,
8,CreateApprovalRuleTemplate,Grants permission to create an approval rule template that will automatically create approval rules in pull requests that match the conditions defined in the template; does not grant permission to create approval rules for individual pull requests,Write,,,
9,CreateBranch,Grants permission to create a branch in an AWS CodeCommit repository with this API; does not control Git create branch actions,Write,repository*,,
10,CreateBranch,Grants permission to create a branch in an AWS CodeCommit repository with this API; does not control Git create branch actions,Write,,codecommit:References,
11,CreateCommit,"Grants permission to add, copy, move or update single or multiple files in a branch in an AWS CodeCommit repository, and generate a commit for the changes in the specified branch",Write,repository*,,
12,CreateCommit,"Grants permission to add, copy, move or update single or multiple files in a branch in an AWS CodeCommit repository, and generate a commit for the changes in the specified branch",Write,,codecommit:References,
13,CreatePullRequest,Grants permission to create a pull request in the specified repository,Write,repository*,,
14,CreatePullRequestApprovalRule,Grants permission to create an approval rule specific to an individual pull request; does not grant permission to create approval rule templates,Write,repository*,,
15,CreateRepository,Grants permission to create an AWS CodeCommit repository,Write,repository*,,
16,CreateRepository,Grants permission to create an AWS CodeCommit repository,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateUnreferencedMergeCommit,Grants permission to create an unreferenced commit that contains the result of merging two commits using either the three-way or the squash merge option; does not control Git merge actions,Write,repository*,,
18,CreateUnreferencedMergeCommit,Grants permission to create an unreferenced commit that contains the result of merging two commits using either the three-way or the squash merge option; does not control Git merge actions,Write,,codecommit:References,
19,DeleteApprovalRuleTemplate,Grants permission to delete an approval rule template,Write,,,
