,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ActivateType,"Grants permission to activate a public third-party extension, making it available for use in stack templates",Write,,,
1,BatchDescribeTypeConfigurations,Grants permission to return configuration data for the specified CloudFormation extensions,Read,,,
2,CancelUpdateStack,Grants permission to cancel an update on the specified stack,Write,stack*,,
3,ContinueUpdateRollback,Grants permission to continue rolling back a stack that is in the UPDATE_ROLLBACK_FAILED state to the UPDATE_ROLLBACK_COMPLETE state,Write,stack*,,
4,ContinueUpdateRollback,Grants permission to continue rolling back a stack that is in the UPDATE_ROLLBACK_FAILED state to the UPDATE_ROLLBACK_COMPLETE state,Write,,cloudformation:RoleArn,
5,CreateChangeSet,Grants permission to create a list of changes for a stack,Write,stack*,,
6,CreateChangeSet,Grants permission to create a list of changes for a stack,Write,,cloudformation:ChangeSetName  cloudformation:ResourceTypes  cloudformation:ImportResourceTypes  cloudformation:RoleArn  cloudformation:StackPolicyUrl  cloudformation:TemplateUrl  aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateStack,Grants permission to create a stack as specified in the template,Write,stack*,,
8,CreateStack,Grants permission to create a stack as specified in the template,Write,,cloudformation:ResourceTypes  cloudformation:RoleArn  cloudformation:StackPolicyUrl  cloudformation:TemplateUrl  aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateStackInstances,"Grants permission to create stack instances for the specified accounts, within the specified regions",Write,stackset*,,
10,CreateStackInstances,"Grants permission to create stack instances for the specified accounts, within the specified regions",Write,stackset-target,,
11,CreateStackInstances,"Grants permission to create stack instances for the specified accounts, within the specified regions",Write,type,,
12,CreateStackInstances,"Grants permission to create stack instances for the specified accounts, within the specified regions",Write,,cloudformation:TargetRegion,
13,CreateStackSet,Grants permission to create a stackset as specified in the template,Write,,cloudformation:RoleArn  cloudformation:TemplateUrl  aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateUploadBucket [permission only],Grants permission to upload templates to Amazon S3 buckets. Used only by the AWS CloudFormation console and is not documented in the API reference,Write,,,
15,DeactivateType,Grants permission to deactivate a public extension that was previously activated in this account and region,Write,,,
16,DeleteChangeSet,Grants permission to delete the specified change set. Deleting change sets ensures that no one executes the wrong change set,Write,stack*,,
17,DeleteChangeSet,Grants permission to delete the specified change set. Deleting change sets ensures that no one executes the wrong change set,Write,,cloudformation:ChangeSetName,
18,DeleteStack,Grants permission to delete a specified stack,Write,stack*,,
19,DeleteStack,Grants permission to delete a specified stack,Write,,cloudformation:RoleArn,
20,DeleteStackInstances,"Grants permission to delete stack instances for the specified accounts, in the specified regions",Write,stackset*,,
21,DeleteStackInstances,"Grants permission to delete stack instances for the specified accounts, in the specified regions",Write,stackset-target,,
22,DeleteStackInstances,"Grants permission to delete stack instances for the specified accounts, in the specified regions",Write,type,,
23,DeleteStackInstances,"Grants permission to delete stack instances for the specified accounts, in the specified regions",Write,,cloudformation:TargetRegion,
24,DeleteStackSet,Grants permission to delete a specified stackset,Write,stackset*,,
25,DeregisterType,Grants permission to deregister an existing CloudFormation type or type version,Write,,,
26,DescribeAccountLimits,Grants permission to retrieve your account's AWS CloudFormation limits,Read,,,
27,DescribeChangeSet,Grants permission to return the description for the specified change set,Read,stack*,,
28,DescribeChangeSet,Grants permission to return the description for the specified change set,Read,,cloudformation:ChangeSetName,
29,DescribeChangeSetHooks,Grants permission to return the Hook invocation information for the specified change set,Read,stack*,,
30,DescribeChangeSetHooks,Grants permission to return the Hook invocation information for the specified change set,Read,,cloudformation:ChangeSetName,
31,DescribePublisher,Grants permission to return information about a CloudFormation extension publisher,Read,,,
32,DescribeStackDriftDetectionStatus,Grants permission to return information about a stack drift detection operation,Read,,,
33,DescribeStackEvents,Grants permission to return all stack related events for a specified stack,Read,stack*,,
34,DescribeStackInstance,"Grants permission to return the stack instance that's associated with the specified stack set, AWS account, and region",Read,stackset*,,
35,DescribeStackResource,Grants permission to return a description of the specified resource in the specified stack,Read,stack*,,
36,DescribeStackResourceDrifts,Grants permission to return drift information for the resources that have been checked for drift in the specified stack,Read,stack*,,
37,DescribeStackResources,Grants permission to return AWS resource descriptions for running and deleted stacks,Read,stack*,,
38,DescribeStackSet,Grants permission to return the description of the specified stack set,Read,stackset*,,
39,DescribeStackSetOperation,Grants permission to return the description of the specified stack set operation,Read,stackset*,,
40,DescribeStacks,Grants permission to return the description for the specified stack,List,stack*,,
41,DescribeType,Grants permission to return information about the CloudFormation type requested,Read,,,
42,DescribeTypeRegistration,Grants permission to return information about the registration process for a CloudFormation type,Read,,,
43,DetectStackDrift,"Grants permission to detects whether a stack's actual configuration differs, or has drifted, from it's expected configuration, as defined in the stack template and any values specified as template parameters",Read,stack*,,
44,DetectStackResourceDrift,"Grants permission to return information about whether a resource's actual configuration differs, or has drifted, from it's expected configuration, as defined in the stack template and any values specified as template parameters",Read,stack*,,
45,DetectStackSetDrift,Grants permission to enable users to detect drift on a stack set and the stack instances that belong to that stack set,Read,stackset*,,
46,EstimateTemplateCost,Grants permission to return the estimated monthly cost of a template,Read,,,
47,ExecuteChangeSet,Grants permission to update a stack using the input information that was provided when the specified change set was created,Write,stack*,,
48,ExecuteChangeSet,Grants permission to update a stack using the input information that was provided when the specified change set was created,Write,,cloudformation:ChangeSetName,
49,GetStackPolicy,Grants permission to return the stack policy for a specified stack,Read,stack*,,
50,GetTemplate,Grants permission to return the template body for a specified stack,Read,stack*,,
51,GetTemplateSummary,Grants permission to return information about a new or existing template,Read,stack,,
52,GetTemplateSummary,Grants permission to return information about a new or existing template,Read,stackset,,
53,ImportStacksToStackSet,Grants permission to enable users to import existing stacks to a new or existing stackset,Write,stackset*,,
54,ListChangeSets,"Grants permission to return the ID and status of each active change set for a stack. For example, AWS CloudFormation lists change sets that are in the CREATE_IN_PROGRESS or CREATE_PENDING state",List,stack*,,
55,ListExports,Grants permission to list all exported output values in the account and region in which you call this action,List,,,
56,ListImports,Grants permission to list all stacks that are importing an exported output value,List,,,
