,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptInboundConnection,Grants permission to the destination domain owner to accept an inbound cross-cluster search connection request,Write,,,
1,AcceptInboundCrossClusterSearchConnection,Grants permission to the destination domain owner to accept an inbound cross-cluster search connection request. This permission is deprecated. Use AcceptInboundConnection instead,Write,,,
2,AddTags,Grants permission to attach resource tags to an OpenSearch Service domain,Tagging,domain*,,
3,AddTags,Grants permission to attach resource tags to an OpenSearch Service domain,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,AssociatePackage,Grants permission to associate a package with an OpenSearch Service domain,Write,domain*,,
5,CancelElasticsearchServiceSoftwareUpdate,Grants permission to cancel a service software update of a domain. This permission is deprecated. Use CancelServiceSoftwareUpdate instead,Write,domain*,,
6,CancelServiceSoftwareUpdate,Grants permission to cancel a service software update of a domain,Write,domain*,,
7,CreateDomain,Grants permission to create an Amazon OpenSearch Service domain,Write,domain,,
8,CreateDomain,Grants permission to create an Amazon OpenSearch Service domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateElasticsearchDomain,Grants permission to create an OpenSearch Service domain. This permission is deprecated. Use CreateDomain instead,Write,domain,,
10,CreateElasticsearchDomain,Grants permission to create an OpenSearch Service domain. This permission is deprecated. Use CreateDomain instead,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateElasticsearchServiceRole,Grants permission to create the service-linked role required for OpenSearch Service domains that use VPC access. This permission is deprecated. OpenSearch Service creates the service-linked role for you,Write,,,
12,CreateOutboundConnection,Grants permission to create a new cross-cluster search connection from a source domain to a destination domain,Write,domain*,,
13,CreateOutboundCrossClusterSearchConnection,Grants permission to create a new cross-cluster search connection from a source domain to a destination domain. This permission is deprecated. Use CreateOutboundConnection instead,Write,domain*,,
14,CreatePackage,Grants permission to add a package for use with OpenSearch Service domains,Write,,,
15,CreateServiceRole,Grants permission to create the service-linked role required for Amazon OpenSearch Service domains that use VPC access,Write,,,
16,DeleteDomain,Grants permission to delete an Amazon OpenSearch Service domain and all of its data,Write,domain*,,
17,DeleteElasticsearchDomain,Grants permission to delete an OpenSearch Service domain and all of its data. This permission is deprecated. Use DeleteDomain instead,Write,domain*,,
18,DeleteElasticsearchServiceRole,Grants permission to delete the service-linked role required for OpenSearch Service domains that use VPC access. This permission is deprecated. Use the IAM API to delete service-linked roles,Write,,,
19,DeleteInboundConnection,Grants permission to the destination domain owner to delete an existing inbound cross-cluster search connection,Write,,,
20,DeleteInboundCrossClusterSearchConnection,Grants permission to the destination domain owner to delete an existing inbound cross-cluster search connection. This permission is deprecated. Use DeleteInboundConnection instead,Write,,,
21,DeleteOutboundConnection,Grants permission to the source domain owner to delete an existing outbound cross-cluster search connection,Write,,,
22,DeleteOutboundCrossClusterSearchConnection,Grants permission to the source domain owner to delete an existing outbound cross-cluster search connection. This permission is deprecated. Use DeleteOutboundConnection instead,Write,,,
23,DeletePackage,Grants permission to delete a package from OpenSearch Service. The package cannot be associated with any domains,Write,,,
24,DescribeDomain,"Grants permission to view a description of the domain configuration for the specified OpenSearch Service domain, including the domain ID, service endpoint, and ARN",Read,domain*,,
25,DescribeDomainAutoTunes,"Grants permission to view the Auto-Tune configuration of the domain for the specified OpenSearch Service domain, including the Auto-Tune state and maintenance schedules",Read,domain*,,
26,DescribeDomainChangeProgress,Grants permission to view detail stage progress of an OpenSearch Service domain,Read,domain*,,
27,DescribeDomainConfig,Grants permission to view a description of the configuration options and status of an OpenSearch Service domain,Read,domain*,,
28,DescribeDomains,Grants permission to view a description of the domain configuration for up to five specified OpenSearch Service domains,List,domain*,,
29,DescribeElasticsearchDomain,"Grants permission to view a description of the domain configuration for the specified OpenSearch Service domain, including the domain ID, service endpoint, and ARN. This permission is deprecated. Use DescribeDomain instead",Read,domain*,,
30,DescribeElasticsearchDomainConfig,Grants permission to view a description of the configuration and status of an OpenSearch Service domain. This permission is deprecated. Use DescribeDomainConfig instead,Read,domain*,,
31,DescribeElasticsearchDomains,Grants permission to view a description of the domain configuration for up to five specified Amazon OpenSearch domains. This permission is deprecated. Use DescribeDomains instead,List,domain*,,
32,DescribeElasticsearchInstanceTypeLimits,"Grants permission to view the instance count, storage, and master node limits for a given OpenSearch version and instance type. This permission is deprecated. Use DescribeInstanceTypeLimits instead",List,,,
33,DescribeInboundConnections,Grants permission to list all the inbound cross-cluster search connections for a destination domain,List,,,
34,DescribeInboundCrossClusterSearchConnections,Grants permission to list all the inbound cross-cluster search connections for a destination domain. This permission is deprecated. Use DescribeInboundConnections instead,List,,,
35,DescribeInstanceTypeLimits,"Grants permission to view the instance count, storage, and master node limits for a given engine version and instance type",List,,,
36,DescribeOutboundConnections,Grants permission to list all the outbound cross-cluster search connections for a source domain,List,,,
37,DescribeOutboundCrossClusterSearchConnections,Grants permission to list all the outbound cross-cluster search connections for a source domain. This permission is deprecated. Use DescribeOutboundConnections instead,List,,,
38,DescribePackages,Grants permission to describe all packages available to OpenSearch Service domains,Read,,,
39,DescribeReservedElasticsearchInstanceOfferings,Grants permission to fetch Reserved Instance offerings for Amazon OpenSearch Service. This permission is deprecated. Use DescribeReservedInstanceOfferings instead,List,,,
40,DescribeReservedElasticsearchInstances,Grants permission to fetch OpenSearch Service Reserved Instances that have already been purchased. This permission is deprecated. Use DescribeReservedInstances instead,List,,,
41,DescribeReservedInstanceOfferings,Grants permission to fetch Reserved Instance offerings for OpenSearch Service,List,,,
42,DescribeReservedInstances,Grants permission to fetch OpenSearch Service Reserved Instances that have already been purchased,List,,,
43,DissociatePackage,Grants permission to disassociate a package from the specified OpenSearch Service domain,Write,domain*,,
44,ESCrossClusterGet,Grants permission to send cross-cluster requests to a destination domain,Read,domain,,
